,,0,1
cpt_Adhd Confidence Index,mean,43.07951088557143,65.2970892336
cpt_Adhd Confidence Index,std,21.870230135964288,22.617232437175723
cpt_Neuro Confidence Index,mean,38.90990790546939,58.8067450722
cpt_Neuro Confidence Index,std,19.994616688638,25.48374402564535
cpt_Old Overall Index,mean,2.831428693081633,6.93360015804
cpt_Old Overall Index,std,5.857623199805559,7.1014377301149265
ASRS,mean,32.680851063829785,47.46938775510204
ASRS,std,12.906193967944436,10.76278704769418
WURS,mean,28.979166666666668,52.8
WURS,std,15.506333069047205,19.00053704933798
MADRS,mean,14.444444444444445,13.244444444444444
MADRS,std,8.763445657843713,7.520141305356253
HADS_A,mean,9.681818181818182,9.636363636363637
HADS_A,std,4.704143286422791,4.519162862851096
HADS_D,mean,5.840909090909091,4.4772727272727275
HADS_D,std,4.307609177809965,3.663069219921537
